https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1483228740,2016-12-31 23:59:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228680,2016-12-31 23:58:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228620,2016-12-31 23:57:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228560,2016-12-31 23:56:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228500,2016-12-31 23:55:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228440,2016-12-31 23:54:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228380,2016-12-31 23:53:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228320,2016-12-31 23:52:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228260,2016-12-31 23:51:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228200,2016-12-31 23:50:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228140,2016-12-31 23:49:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228080,2016-12-31 23:48:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483228020,2016-12-31 23:47:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227960,2016-12-31 23:46:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227900,2016-12-31 23:45:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227840,2016-12-31 23:44:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227780,2016-12-31 23:43:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227720,2016-12-31 23:42:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227660,2016-12-31 23:41:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227600,2016-12-31 23:40:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227540,2016-12-31 23:39:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227480,2016-12-31 23:38:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227420,2016-12-31 23:37:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227360,2016-12-31 23:36:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227300,2016-12-31 23:35:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227240,2016-12-31 23:34:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227180,2016-12-31 23:33:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227120,2016-12-31 23:32:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227060,2016-12-31 23:31:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483227000,2016-12-31 23:30:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226940,2016-12-31 23:29:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226880,2016-12-31 23:28:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226820,2016-12-31 23:27:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226760,2016-12-31 23:26:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226700,2016-12-31 23:25:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226640,2016-12-31 23:24:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226580,2016-12-31 23:23:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226520,2016-12-31 23:22:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226460,2016-12-31 23:21:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226400,2016-12-31 23:20:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226340,2016-12-31 23:19:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226280,2016-12-31 23:18:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226220,2016-12-31 23:17:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226160,2016-12-31 23:16:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226100,2016-12-31 23:15:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483226040,2016-12-31 23:14:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225980,2016-12-31 23:13:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225920,2016-12-31 23:12:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225860,2016-12-31 23:11:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225800,2016-12-31 23:10:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225740,2016-12-31 23:09:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225680,2016-12-31 23:08:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225620,2016-12-31 23:07:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225560,2016-12-31 23:06:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225500,2016-12-31 23:05:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225440,2016-12-31 23:04:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225380,2016-12-31 23:03:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225320,2016-12-31 23:02:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225260,2016-12-31 23:01:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225200,2016-12-31 23:00:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225140,2016-12-31 22:59:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225080,2016-12-31 22:58:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483225020,2016-12-31 22:57:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224960,2016-12-31 22:56:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224900,2016-12-31 22:55:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224840,2016-12-31 22:54:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224780,2016-12-31 22:53:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224720,2016-12-31 22:52:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224660,2016-12-31 22:51:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224600,2016-12-31 22:50:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224540,2016-12-31 22:49:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224480,2016-12-31 22:48:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224420,2016-12-31 22:47:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224360,2016-12-31 22:46:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224300,2016-12-31 22:45:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224240,2016-12-31 22:44:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224180,2016-12-31 22:43:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224120,2016-12-31 22:42:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224060,2016-12-31 22:41:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483224000,2016-12-31 22:40:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223940,2016-12-31 22:39:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223880,2016-12-31 22:38:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223820,2016-12-31 22:37:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223760,2016-12-31 22:36:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223700,2016-12-31 22:35:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223640,2016-12-31 22:34:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223580,2016-12-31 22:33:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223520,2016-12-31 22:32:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223460,2016-12-31 22:31:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
1483223400,2016-12-31 22:30:00,XRP/USD,0.00600,0.00600,0.00600,0.00600,0.00000000,0.0
